id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
79,37,20,118700,0.09,593500,66922.4,153007,281586,419483,579512,738736,933215,1117120,1313850,1560510,1788170,2031690,2292180,2570790,2929200,3252250,3597790,3967380,4362680,4845880,,,,,,3/4/2025 0:34
80,37,25,103600,0.09,518000,58171.2,133030,244937,364930,504190,642696,811911,971832,1142860,1357400,1555260,1766860,1993160,2235160,2546660,2827160,3127120,3447890,3790900,4210410,4606380,5029800,5482560,5966690,6537060,3/4/2025 0:34
81,38,10,198900,0.09,994500,113310,258939,476005,708939,979254,1248500,1577130,1888410,2221560,2638830,,,,,,,,,,,,,,,,3/4/2025 0:34
82,38,15,144500,0.09,722500,81807.9,187016,344035,512483,707980,902588,1140210,1365090,1605690,1907220,2185780,2483810,2802680,3143840,3582360,,,,,,,,,,,3/4/2025 0:34
83,38,20,118700,0.09,593500,66867.5,152905,281446,419312,579324,738535,932999,1116890,1313600,1560240,1787890,2031390,2291850,2570450,2928830,3251850,3597360,3966920,4362190,4845350,,,,,,3/4/2025 0:34
84,38,25,103600,0.09,518000,58123.3,132942,244815,364781,504026,642520,811722,971630,1142650,1357170,1555010,1766600,1992870,2234850,2546340,2826810,3126750,3447490,3790480,4209950,4605890,5029270,5482000,5966080,6536410,3/4/2025 0:34
85,39,10,199000,0.09,995000,113326,258954,476062,709066,979489,1248850,1577630,1889050,2222350,2639810,,,,,,,,,,,,,,,,3/4/2025 0:34
86,39,15,144500,0.09,722500,81777.1,186931,343900,512313,707787,902382,1139990,1364850,1605430,1906950,2185490,2483500,2802350,3143480,3581970,,,,,,,,,,,3/4/2025 0:34
87,39,20,118700,0.09,593500,66842.2,152836,281335,419171,579165,738365,932817,1116700,1313390,1560020,1787650,2031130,2291570,2570150,2928510,3251520,3597000,3966530,4361780,4844910,,,,,,3/4/2025 0:34
88,39,25,103600,0.09,518000,58101.2,132880,244718,364658,503886,642371,811562,971459,1142460,1356970,1554800,1766370,1992630,2234600,2546060,2826510,3126430,3447150,3790110,4209560,4605470,5028820,5481520,5965570,6535860,3/4/2025 0:34
89,40,10,199000,0.09,995000,113283,258825,475864,708778,979164,1248500,1577260,1888650,2221920,2639350,,,,,,,,,,,,,,,,3/4/2025 0:34
90,40,15,144500,0.09,722500,81746.3,186837,343756,512103,707549,902127,1139720,1364560,1605120,1906620,2185130,2483120,2801940,3143040,3581500,,,,,,,,,,,3/4/2025 0:34
91,40,20,118700,0.09,593500,66816.9,152759,281217,418999,578968,738154,932591,1116450,1313130,1559740,1787350,2030810,2291230,2569790,2928120,3251100,3596550,3966050,4361260,4844350,,,,,,3/4/2025 0:34
92,40,25,103600,0.09,518000,58079.1,132813,244614,364507,503714,642186,811364,971247,1142240,1356730,1554540,1766090,1992330,2234280,2545720,2826150,3126040,3446730,3789660,4209080,4604950,5028270,5480920,5964930,6535180,3/4/2025 0:34
93,41,10,199000,0.09,995000,113234,258689,475589,708384,978717,1248020,1576750,1888100,2221330,2638720,,,,,,,,,,,,,,,,3/4/2025 0:34
94,41,15,144500,0.09,722500,81710.4,186738,343556,511816,707222,901776,1139350,1364160,1604690,1906150,2184640,2482590,2801370,3142440,3580850,,,,,,,,,,,3/4/2025 0:34
95,41,20,118700,0.09,593500,66787.4,152677,281052,418761,578698,737865,932281,1116120,1312770,1559360,1786940,2030380,2290760,2569280,2927580,3250520,3595940,3965390,4360550,4843600,,,,,,3/4/2025 0:34
